Date,Open,High,Low,Close,Volume
2018/1/2,29.02,30.06,29.02,29.62,675913
2018/1/3,29.74,30.48,29.64,29.97,718503
2018/1/4,30.28,30.36,29.4,29.65,516866
2018/1/5,29.87,30.25,29.46,30.1,479908
2018/1/8,29.92,30.05,29.31,29.47,658579
2018/1/9,29.52,29.91,29.35,29.77,398678
2018/1/10,29.66,30.77,29.58,30.53,799283
2018/1/11,30.52,31.15,30.4,30.92,540745
2018/1/12,31.12,31.58,31.02,31.51,487343
2018/1/15,31.48,32.4,31.3,31.94,673146
2018/1/16,31.8,32.28,31.54,31.89,652819
2018/1/17,32.1,33.11,31.5,31.69,1026546
2018/1/18,32.1,32.75,32.1,32.32,811040
2018/1/19,32.66,33.35,32.21,32.46,841329
2018/1/22,32.18,33.64,32.15,33.08,945730
2018/1/23,33.2,34.17,33.2,34.05,868995
2018/1/24,34.25,35.35,33.45,33.85,1176484
2018/1/25,34.01,34.02,32.9,33.41,789040
2018/1/26,33.19,34.3,33.19,33.47,706674
2018/1/29,33.5,34.08,32.81,32.98,684921
2018/1/30,32.9,33.16,32.41,32.57,365713
2018/1/31,32.34,33.99,32.22,33.94,664794
2018/2/1,34.05,34.92,33.85,34.45,692850
2018/2/2,34.04,34.58,33.69,34.5,494732
2018/2/5,33.83,35.11,33.8,34.89,743286
2018/2/6,34.1,34.69,33.49,34.62,1416913
2018/2/7,34.58,34.93,32.1,32.39,1502883
2018/2/8,31.95,32.38,30.83,31.28,1069830
2018/2/9,30.33,30.81,28.6,30.71,1327540
2018/2/12,30.4,30.64,29.4,30.05,876966
2018/2/13,30.38,31.27,30.35,30.91,799268
2018/2/14,30.95,31.47,30.42,31.37,334943
2018/2/22,31.88,32.2,31.18,31.5,677681
2018/2/23,31.5,32.1,31.22,31.78,515008
2018/2/26,31.89,32.35,31.23,31.51,718618
2018/2/27,31.57,31.65,30.65,30.87,715338
2018/2/28,30.38,30.75,30.01,30.3,532577
2018/3/1,30.03,30.86,30.01,30.4,402770
2018/3/2,30.12,30.46,30.02,30.03,338760
2018/3/5,30.1,30.58,29.92,30.15,336201
2018/3/6,30.39,30.47,29.49,30.04,618837
2018/3/7,30.5,31.08,30.35,30.77,842334
2018/3/8,30.85,31.06,30.41,30.92,405007
2018/3/9,31.2,31.5,30.98,31.15,355100
2018/3/12,31.44,31.49,30.8,30.84,581737
2018/3/13,30.9,31.38,30.63,30.73,373747
2018/3/14,30.57,30.6,30.21,30.39,263176
2018/3/15,30.21,30.68,30.21,30.52,241960
2018/3/16,30.57,30.68,30.1,30.13,368024
2018/3/19,30.01,30.74,29.9,30.71,322733
2018/3/20,30.55,31.1,30.51,30.99,382395
