Date,Open,High,Low,Close,Volume
2015/11/25,107.510002,107.660004,107.25,107.470001,1820300
2015/11/27,107.589996,107.760002,107.220001,107.629997,552400
2015/11/30,107.779999,107.849998,107.110001,107.169998,3618100
2015/12/1,107.589996,108.209999,107.370003,108.18,2443600
2015/12/2,108.099998,108.269997,106.879997,107.050003,2937200
2015/12/3,107.290001,107.480003,105.059998,105.449997,3345600
2015/12/4,105.809998,107.540001,105.620003,107.389999,4520000
2015/12/7,107.230003,107.269997,106.059998,106.550003,3000500
2015/12/8,105.940002,106.400002,105.269997,105.910004,3149600
2015/12/9,105.550003,106.75,104.480003,105,4179800
2015/12/10,105.18,106.059998,104.919998,105.309998,3684900
2015/12/11,104.169998,104.43,103.07,103.239998,5100700
2015/12/14,103.360001,103.720001,102.18,103.610001,7216200
2015/12/15,104.440002,105.190002,104.360001,104.720001,2918000
2015/12/16,105.459999,106.419998,104.699997,106.239998,5972400
2015/12/17,106.440002,106.470001,104.68,104.68,4939900
2015/12/18,104.169998,104.360001,102.900002,102.900002,4207700
2015/12/21,103.190002,103.279999,102.370003,103.129997,3240700
2015/12/22,103.650002,104.260002,103.040001,104.059998,2875300
2015/12/23,104.629997,105.400002,104.510002,105.360001,3342300
2015/12/24,105.220001,105.599998,105.080002,105.230003,1460500
2015/12/28,104.879997,105,104.32,105,3479600
2015/12/29,105.690002,106.239998,105.540001,106.120003,2508300
2015/12/30,105.959999,106,105.25,105.32,2405900
2015/12/31,104.93,105.32,104.300003,104.300003,3652200
2016/1/4,102.580002,102.949997,101.580002,102.739998,6138300
2016/1/5,102.900002,103.18,102.300003,102.970001,3652300
2016/1/6,101.529999,102.230003,100.949997,101.589996,3732800
2016/1/7,99.900002,100.800003,98.870003,99.099998,9256200
2016/1/8,99.610001,99.989998,97.779999,97.970001,7015800
2016/1/11,98.550003,98.669998,96.779999,97.910004,6862800
2016/1/12,98.800003,99.169998,97.279999,98.580002,4457300
2016/1/13,99,99.199997,95.779999,96.040001,6163000
2016/1/14,96.360001,98.18,95.330002,97.510002,5085100
2016/1/15,95.050003,95.879997,94.220001,95.459999,8101700
2016/1/19,96.57,96.669998,94.5,95.360001,7435700
2016/1/20,94,95.269997,91.790001,94.419998,13844900
2016/1/21,94.699997,95.959999,93.82,94.790001,7169500
2016/1/22,96.330002,96.889999,95.949997,96.809998,3701500
2016/1/25,96.639999,96.650002,95.110001,95.220001,4470500
2016/1/26,95.599998,96.82,95.440002,96.669998,3331400
2016/1/27,96.400002,97.32,95.050003,95.57,5202400
2016/1/28,96.559998,96.660004,95.050003,95.949997,4540700
2016/1/29,96.449997,98.360001,96.349998,98.330002,5005400
2016/2/1,97.75,98.809998,97.370003,98.349998,3868900
2016/2/2,97.5,97.550003,96.160004,96.449997,3279600
2016/2/3,97.089996,97.290001,94.889999,97.029999,5457300
2016/2/4,96.790001,97.919998,96.470001,97.260002,3431800
2016/2/5,96.940002,97,94.949997,95.260002,3993600
2016/2/8,94.199997,94.379997,92.5,93.779999,6303900
2016/2/9,92.839996,94.470001,92.699997,93.660004,4793900
2016/2/10,94.190002,95.269997,93.620003,93.720001,3580000
2016/2/11,92.389999,93.059998,91.580002,92.559998,7239700
2016/2/12,93.470001,94.379997,93.010002,94.360001,2948100
2016/2/16,95.620003,96.089996,94.959999,96.080002,3577700
2016/2/17,96.769997,97.93,96.589996,97.669998,3635000
2016/2/18,97.900002,97.919998,97.089996,97.279999,2432100
2016/2/19,96.849998,97.360001,96.43,97.300003,2243700
2016/2/22,98.239998,98.800003,98.110001,98.720001,2235400
2016/2/23,98.379997,98.519997,97.470001,97.529999,3203900
2016/2/24,96.580002,98.139999,95.989998,98.029999,3253400
2016/2/25,98.269997,99.190002,97.82,99.190002,2942600
2016/2/26,99.669998,99.760002,98.959999,99.110001,3194300
2016/2/29,99.120003,99.690002,98.32,98.32,2749400
2016/3/1,99.129997,100.68,98.839996,100.660004,2955700
2016/3/2,100.519997,101.239998,100.260002,101.220001,3591400
2016/3/3,101.129997,101.75,100.849998,101.720001,2703100
2016/3/4,101.889999,102.599998,101.400002,102.07,2442100
2016/3/7,101.650002,102.559998,101.559998,102.279999,2963900
2016/3/8,101.730003,101.800003,100.910004,101.010002,3436900
2016/3/9,101.5,101.699997,100.980003,101.5,2131700
2016/3/10,101.800003,102.300003,100.400002,101.470001,3702000
2016/3/11,102.370003,103.239998,102.330002,103.190002,3253500
2016/3/14,102.879997,103.32,102.690002,103.07,2987100
2016/3/15,102,102.260002,101.760002,102.239998,2992400
2016/3/16,101.989998,103.089996,101.910004,102.879997,3473600
2016/3/17,102.870003,103.919998,102.599998,103.669998,3472500
2016/3/18,103.949997,104.279999,103.800003,104.129997,2942300
2016/3/21,103.980003,104.360001,103.800003,104.230003,2539300
2016/3/22,103.75,104.519997,103.610001,104.199997,1962600
2016/3/23,104.040001,104.040001,103.279999,103.349998,6087100
2016/3/24,102.760002,103.330002,102.529999,103.32,2173000
2016/3/28,103.580002,103.709999,103.07,103.389999,2103400
2016/3/29,103.190002,104.550003,102.959999,104.540001,2920300
2016/3/30,105.040001,105.389999,104.730003,104.940002,2258800
2016/3/31,104.970001,105.220001,104.699997,104.82,2230100
2016/4/1,104.300003,105.57,103.949997,105.480003,2996000
2016/4/4,105.489998,105.550003,104.889999,105.040001,1847400
2016/4/5,104.309998,104.550003,103.870003,104.019997,2572500
2016/4/6,104.089996,105.199997,103.900002,105.160004,2565100
2016/4/7,104.5,104.739998,103.440002,103.900002,2134800
2016/4/8,104.57,104.900002,103.910004,104.199997,2337000
2016/4/11,104.650002,105.050003,103.910004,103.910004,2276300
2016/4/12,104.099998,105.099998,103.779999,104.919998,2357200
2016/4/13,105.5,106.169998,105.43,106.150002,2864500
2016/4/14,106.239998,106.389999,105.900002,106.110001,1666900
2016/4/15,106.120003,106.190002,105.870003,106.059998,1622600
2016/4/18,105.739998,106.790001,105.610001,106.769997,1764600
2016/4/19,107.019997,107.309998,106.610001,107.07,2103700
2016/4/20,107.209999,107.639999,106.830002,107.18,1958900
2016/4/21,107.260002,107.330002,106.480003,106.650002,1675200
2016/4/22,106.510002,106.93,106.239998,106.800003,1893600
2016/4/25,106.5,106.589996,106.059998,106.540001,2088100
2016/4/26,106.779999,107.050003,106.440002,106.830002,1747500
2016/4/27,106.660004,107.330002,106.419998,107.089996,2267900
2016/4/28,106.629997,107.300003,105.870003,106.129997,4834200
2016/4/29,105.800003,105.959999,104.809998,105.510002,3068000
2016/5/2,105.800003,106.400002,105.470001,106.330002,2546500
2016/5/3,105.620003,105.68,104.82,105.260002,5172600
2016/5/4,104.760002,105.169998,104.370003,104.639999,2578800
2016/5/5,104.949997,105.169998,104.370003,104.599998,1616700
2016/5/6,104.139999,104.989998,104,104.980003,1759600
2016/5/9,104.870003,105.339996,104.769997,105.089996,1747300
2016/5/10,105.5,106.400002,105.410004,106.339996,2400200
2016/5/11,106.089996,106.290001,105.339996,105.370003,1531600
